region_id,lat,lon,variable,source,n,bias,rmse,r,add_correction,mul_factor
R16,32.369195999999995,-6.535410999999998,precipitation_mm,ERA5,0,,,,,
R16,32.369195999999995,-6.535410999999998,precipitation_mm,NASA,0,,,,,
R16,32.369195999999995,-6.535410999999998,precipitation_mm,CHIRPS,0,,,,,
R17,34.93110000000001,-2.269535,temperature_C,OM,2370,0.5333,1.8384,0.9432,0.5333,1.0283
R17,34.93110000000001,-2.269535,temperature_C,ERA5,2370,1.3044,2.718,0.9138,1.3044,1.0721
R17,34.93110000000001,-2.269535,temperature_C,NASA,2370,-0.3184,1.983,0.9368,-0.3184,0.9839
R17,34.93110000000001,-2.269535,precipitation_mm,OM,297,1.9462,7.0116,0.393,1.9462,1.7341
R17,34.93110000000001,-2.269535,precipitation_mm,ERA5,326,3.8547,7.722,0.0671,3.8547,8.2991
R17,34.93110000000001,-2.269535,precipitation_mm,NASA,318,1.8329,7.5032,0.294,1.8329,1.6964
R17,34.93110000000001,-2.269535,precipitation_mm,CHIRPS,322,-24.4203,30.0824,0.1846,-24.4203,0.1531
R18,34.97984,-3.056932,temperature_C,OM,2400,-0.7079,2.0348,0.9437,-0.7079,0.9627
R18,34.97984,-3.056932,temperature_C,ERA5,2400,-0.4135,2.209,0.9269,-0.4135,0.9779
R18,34.97984,-3.056932,temperature_C,NASA,2400,-1.3733,2.4262,0.9411,-1.3733,0.9301
R18,34.97984,-3.056932,precipitation_mm,OM,359,1.5536,5.4268,0.4722,1.5536,1.9218
R18,34.97984,-3.056932,precipitation_mm,ERA5,434,2.2449,5.7586,0.3188,2.2449,5.3012
R18,34.97984,-3.056932,precipitation_mm,NASA,394,0.9339,5.7874,0.3706,0.9339,1.4496
R18,34.97984,-3.056932,precipitation_mm,CHIRPS,432,-24.8123,30.0261,0.1815,-24.8123,0.1007
R19,32.593817,-8.817845,temperature_C,OM,4098,-0.3701,1.6241,0.931,-0.3701,0.9809
R19,32.593817,-8.817845,temperature_C,ERA5,4098,-0.154,1.8857,0.9031,-0.154,0.9919
R19,32.593817,-8.817845,temperature_C,NASA,4098,-0.6236,1.7872,0.9246,-0.6236,0.9682
R19,32.593817,-8.817845,precipitation_mm,OM,627,1.6274,5.3166,0.3856,1.6274,2.0669
R19,32.593817,-8.817845,precipitation_mm,ERA5,834,2.0624,5.4835,0.1695,2.0624,5.1955
R19,32.593817,-8.817845,precipitation_mm,NASA,775,1.0713,7.0224,0.1891,1.0713,1.6521
R19,32.593817,-8.817845,precipitation_mm,CHIRPS,826,-36.1996,43.5129,0.1564,-36.1996,0.0663
R20,32.669896,-8.660583,temperature_C,OM,4096,-0.4775,1.6543,0.9339,-0.4775,0.9754
R20,32.669896,-8.660583,temperature_C,ERA5,4096,-0.245,1.921,0.9044,-0.245,0.9872
R20,32.669896,-8.660583,temperature_C,NASA,4096,-0.6974,1.8023,0.9279,-0.6974,0.9644
R20,32.669896,-8.660583,precipitation_mm,OM,964,10.6135,129.7592,0.058,10.6135,9.6179
R20,32.669896,-8.660583,precipitation_mm,ERA5,1404,8.436,107.8473,0.014,8.436,21.0664
R20,32.669896,-8.660583,precipitation_mm,NASA,1221,8.4343,115.3353,0.0436,8.4343,7.8588
R20,32.669896,-8.660583,precipitation_mm,CHIRPS,1310,-24.6284,116.3194,-0.0013,-24.6284,0.2736
R21,32.956842,-8.229135999999997,temperature_C,OM,0,,,,,
R21,32.956842,-8.229135999999997,temperature_C,ERA5,2049,-0.0717,1.922,0.9233,-0.0717,0.9963
R21,32.956842,-8.229135999999997,temperature_C,NASA,2049,-0.5075,1.6251,0.948,-0.5075,0.9741
R21,32.956842,-8.229135999999997,precipitation_mm,OM,0,,,,,
R21,32.956842,-8.229135999999997,precipitation_mm,ERA5,607,70.1276,173.8866,-0.2674,70.1276,176.2021
R21,32.956842,-8.229135999999997,precipitation_mm,NASA,474,48.0904,148.3762,-0.0677,48.0904,17.3786
R21,32.956842,-8.229135999999997,precipitation_mm,CHIRPS,512,8.9112,136.1957,-0.1263,8.9112,1.255
R22,32.671960000000006,-8.438652999999999,temperature_C,OM,4004,-0.2291,1.6831,0.9303,-0.2291,0.9882
R22,32.671960000000006,-8.438652999999999,temperature_C,ERA5,4004,0.0993,1.9968,0.8966,0.0993,1.0052
R22,32.671960000000006,-8.438652999999999,temperature_C,NASA,4004,-0.2824,1.7569,0.9225,-0.2824,0.9855
R22,32.671960000000006,-8.438652999999999,precipitation_mm,OM,623,1.2063,4.3722,0.4663,1.2063,1.6575
R22,32.671960000000006,-8.438652999999999,precipitation_mm,ERA5,834,1.9289,4.3406,0.2237,1.9289,5.3892
R22,32.671960000000006,-8.438652999999999,precipitation_mm,NASA,770,0.8224,5.7971,0.3272,0.8224,1.4804
R22,32.671960000000006,-8.438652999999999,precipitation_mm,CHIRPS,818,-28.241,32.745,0.2199,-28.241,0.0776
R23,32.598875,-8.701814999999996,temperature_C,OM,4100,-0.4295,1.6758,0.9304,-0.4295,0.978
R23,32.598875,-8.701814999999996,temperature_C,ERA5,4100,-0.1646,1.9502,0.8975,-0.1646,0.9914
R23,32.598875,-8.701814999999996,temperature_C,NASA,4100,-0.5365,1.7905,0.9231,-0.5365,0.9726
R23,32.598875,-8.701814999999996,precipitation_mm,OM,702,1.472,4.7857,0.4414,1.472,1.9644
R23,32.598875,-8.701814999999996,precipitation_mm,ERA5,970,1.8109,4.6104,0.3122,1.8109,4.9792
R23,32.598875,-8.701814999999996,precipitation_mm,NASA,880,0.9245,5.7683,0.3245,0.9245,1.6014
R23,32.598875,-8.701814999999996,precipitation_mm,CHIRPS,964,-33.1111,39.6044,0.2992,-33.1111,0.0642
R24,34.30444531326178,-6.023471211188148,temperature_C,OM,1760,-1.134,2.284,0.9349,-1.134,0.9414
R24,34.30444531326178,-6.023471211188148,temperature_C,ERA5,1760,-0.8154,2.4037,0.9056,-0.8154,0.9572
R24,34.30444531326178,-6.023471211188148,temperature_C,NASA,1760,-1.6386,2.6356,0.9249,-1.6386,0.9175
R24,34.30444531326178,-6.023471211188148,precipitation_mm,OM,446,0.357,15.1528,0.1625,0.357,1.129
R24,34.30444531326178,-6.023471211188148,precipitation_mm,ERA5,638,1.9579,17.206,-0.0004,1.9579,3.3765
R24,34.30444531326178,-6.023471211188148,precipitation_mm,NASA,564,1.1045,13.3478,0.1704,1.1045,1.7554
R24,34.30444531326178,-6.023471211188148,precipitation_mm,CHIRPS,638,-50.9389,67.3299,-0.0006,-50.9389,0.0518
