datetime,region_id,era5_dewpoint_temperature_2m,era5_surface_pressure,era5_surface_solar_radiation_downwards,era5_temperature_2m,era5_total_precipitation,era5_u_component_of_wind_10m,era5_v_component_of_wind_10m,chirps_precipitation,region_nom,lat,lon,temperature_2m_C,dewpoint_temperature_2m_C,era5_precip_mm,era5_wind_speed_ms,era5_radiation_MJm2,era5_pressure_hPa
2025-01-01,R12,273.11911548081264,95024.25465704805,6662795.889784946,284.06945191660236,0.0005830610187954479,-0.29050612193281933,0.37174113078783916,26.39500892162323,SUTA INRA,32.260356,-6.524998,10.919451916602384,-0.03088451918733881,0.5830610187954479,0.47178943947471674,6.662795889784946,950.2425465704805
2025-02-01,R12,275.44784361975536,94868.23143368676,8159141.919642857,284.7740032786415,0.0007053210853717753,-0.1285889134520576,0.3225107689698537,28.711781929450808,SUTA INRA,32.260356,-6.524998,11.62400327864151,2.2978436197553833,0.7053210853717753,0.34720066930279253,8.159141919642858,948.6823143368675
2025-03-01,R12,280.0777089929068,94208.759125084,8761575.489490755,285.792722640499,0.0020536787987712624,0.5616968998344996,0.4580062909792828,36.69977569580078,SUTA INRA,32.260356,-6.524998,12.642722640499017,6.927708992906844,2.0536787987712626,0.7247573179073719,8.761575489490754,942.0875912508401
2025-04-01,R12,282.32763074239097,94213.02301974826,11004214.894444445,290.59991177452935,0.0012217101864425335,0.34621430900361805,0.000637568367852105,59.783024072647095,SUTA INRA,32.260356,-6.524998,17.44991177452937,9.177630742390988,1.2217101864425335,0.3462148960577468,11.004214894444445,942.1302301974825
2025-05-01,R12,281.9462412967477,94348.67020539315,12967694.602150537,294.9828945693149,0.00022979997439139083,0.5372756270952123,-0.2054830123019475,20.17508478331729,SUTA INRA,32.260356,-6.524998,21.83289456931493,8.796241296747723,0.22979997439139083,0.5752289699026257,12.967694602150537,943.4867020539315
2025-06-01,R12,284.15425531599254,94477.4088921441,13522636.936111111,301.5861022313436,0.00016018629449735162,0.46476440164777966,-0.1836158209376865,9.314445734709352,SUTA INRA,32.260356,-6.524998,28.436102231343625,11.004255315992566,0.1601862944973516,0.4997206406960185,13.52263693611111,944.774088921441
2025-07-01,R12,284.1219306658673,94312.40257476478,13911061.57795699,303.6979893920242,7.791247841224607e-05,0.910633893423183,-0.33721712584136637,0.8291843347251415,SUTA INRA,32.260356,-6.524998,30.54798939202425,10.971930665867319,0.07791247841224606,0.9710661552189824,13.911061577956989,943.1240257476478
2025-08-01,R12,282.59215043180734,94318.48637012769,12681758.32795699,303.84139596262287,7.085646378957153e-05,0.5183652036933488,-0.3616446077182729,0.0,SUTA INRA,32.260356,-6.524998,30.69139596262289,9.442150431807363,0.07085646378957153,0.6320516645747802,12.68175832795699,943.1848637012769
2025-09-01,R12,283.8100765652127,94522.64313151041,10797453.501084793,299.4799121856689,0.0001786293403570739,0.3972800095876058,-0.20290129317177666,9.344530165195465,SUTA INRA,32.260356,-6.524998,26.329912185668945,10.660076565212705,0.1786293403570739,0.4460945424332239,10.797453501084794,945.2264313151042
2025-10-01,R12,282.5780732964957,94512.21816196236,9292760.20141011,296.22709095862604,5.969380989497471e-05,0.3655372101773498,-0.053907485418422246,16.417646784335375,SUTA INRA,32.260356,-6.524998,23.07709095862606,9.428073296495711,0.05969380989497471,0.36949082398400285,9.29276020141011,945.1221816196236
2025-11-01,R12,278.6733612484402,94632.76096462674,7060284.694444444,288.88020712534586,0.000609466760880448,0.058886121379004584,0.35013298988342284,40.51393282609507,SUTA INRA,32.260356,-6.524998,15.730207125345885,5.52336124844021,0.6094667608804479,0.35505025826742886,7.060284694444444,946.3276096462673
2025-12-01,R12,277.53684843740155,94602.86480909778,4692364.887096774,282.1705420914517,0.002519171991963314,0.09225270440501551,0.8040433032538301,180.82548713684082,SUTA INRA,32.260356,-6.524998,9.020542091451716,4.386848437401568,2.519171991963314,0.8093183520576867,4.692364887096774,946.0286480909778
2018-01-01,R13,276.76430694005825,95940.78478872648,5654835.360215054,283.0047568044355,0.0014304588636716755,-0.23173666128548243,0.014160584377986129,54.73146629333496,SUTA 503,32.51273,-6.572607,9.85475680443551,3.6143069400582704,1.4304588636716755,0.23216890905904794,5.654835360215054,959.4078478872648
